date,temperature,humidity,luminosity
2022-11-17 15:40:07.110,25.6,34.3,513
2022-11-17 15:40:02.067,25.6,34.3,509
2022-11-17 15:39:57.025,25.6,34.2,506
2022-11-17 15:39:51.981,25.6,34.3,512
2022-11-17 15:39:46.938,25.7,34.2,518
2022-11-17 15:39:41.895,25.6,34.2,110
2022-11-17 15:39:36.852,25.7,34.3,114
2022-11-17 15:39:31.809,25.6,34.4,111
2022-11-17 15:39:26.766,25.6,34.2,111
2022-11-17 15:39:21.723,25.7,34.3,110
2022-11-17 15:39:16.679,25.6,34.3,111
2022-11-17 15:39:11.637,25.6,34.2,112
2022-11-17 15:39:06.593,25.6,34.4,109
2022-11-17 15:39:01.550,25.7,34.4,109
2022-11-17 15:38:56.507,25.7,34.5,111
2022-11-17 15:38:51.464,25.7,34.4,110
2022-11-17 15:38:46.420,25.6,34.3,109
2022-11-17 15:38:41.378,25.6,34.3,111
2022-11-17 15:38:36.334,25.6,34.3,111
2022-11-17 15:38:31.291,25.6,34.3,111
2022-11-17 15:38:26.249,25.6,34.3,112
2022-11-17 15:38:21.205,25.6,34.3,112
2022-11-17 15:38:16.162,25.6,34.3,112
2022-11-17 15:38:11.119,25.6,34.3,113
2022-11-17 15:38:06.076,25.6,34.4,112
2022-11-17 15:38:01.033,25.6,34.4,112
2022-11-17 15:37:55.990,25.6,34.3,113
2022-11-17 15:37:50.947,25.6,34.3,114
2022-11-17 15:37:45.904,25.6,34.3,113
2022-11-17 15:37:40.861,25.6,34.3,109
2022-11-17 15:37:35.818,25.6,34.3,105
2022-11-17 15:37:30.774,25.5,34.4,109
2022-11-17 15:37:25.732,25.6,34.3,110
2022-11-17 15:37:20.688,25.6,34.3,111
2022-11-17 15:37:15.644,25.5,34.4,110
2022-11-17 15:37:10.600,25.6,34.3,109
2022-11-17 15:37:05.556,25.6,34.4,110
2022-11-17 15:37:00.513,25.6,34.4,110
2022-11-17 15:36:55.469,25.6,34.4,110
2022-11-17 15:36:50.426,25.6,34.5,111
2022-11-17 15:36:45.382,25.6,34.4,111
2022-11-17 15:36:40.338,25.5,34.3,110
2022-11-17 15:36:35.295,25.5,34.3,109
2022-11-17 15:36:30.253,25.5,34.2,114
2022-11-17 15:36:25.208,25.5,34.2,101
2022-11-17 15:36:20.164,25.6,34.3,109
2022-11-17 15:36:15.121,25.5,34.4,110
2022-11-17 15:36:10.078,25.6,34.4,110
2022-11-17 15:36:05.035,25.5,34.5,113
2022-11-17 15:35:59.990,25.5,34.5,108
2022-11-17 15:35:54.946,25.5,34.5,110
2022-11-17 15:35:49.903,25.5,34.5,118
2022-11-17 15:35:44.860,25.5,34.5,117
2022-11-17 15:35:39.816,25.5,34.4,107
2022-11-17 15:35:34.773,25.5,34.4,107
2022-11-17 15:35:29.730,25.5,34.4,108
2022-11-17 15:35:24.686,25.5,34.5,108
2022-11-17 15:35:19.642,25.5,34.5,107
2022-11-17 15:35:14.600,25.5,34.7,107
2022-11-17 15:35:09.555,25.5,34.6,112
2022-11-17 15:35:04.511,25.5,34.7,112
2022-11-17 15:34:59.467,25.5,34.7,111
2022-11-17 15:34:54.424,25.5,34.9,111
2022-11-17 15:34:49.382,25.5,34.8,110
2022-11-17 15:34:44.338,25.5,35.0,108
2022-11-17 15:34:39.296,25.5,35.0,107
2022-11-17 15:34:34.253,25.5,35.0,106
2022-11-17 15:34:29.209,25.4,34.9,108
2022-11-17 15:34:24.166,25.4,34.9,115
2022-11-17 15:34:19.122,25.5,34.9,116
